基金代码,基金名称,一级分类,二级分类,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
001910,泰康新机遇混合,混合型,混合型-灵活,94.5783,95.1028,95.3931,92.7442,91.1099,88.1972,83.00754861384276,75.09027445229259
070027,嘉实周期优选混合,混合型,混合型-偏股,94.8043,95.3752,95.3898,93.1479,91.1029,89.6794,84.013228780079,76.28733688495151
020009,国泰金鹏蓝筹混合,混合型,混合型-灵活,94.2221,94.6232,95.3856,93.4965,90.7188,88.6354,85.56255451420363,77.52637525439961
001677,中银战略新兴产业股票A,股票型,股票型,95.9176,95.6647,95.3819,94.4344,92.0673,90.8047,86.07333122402558,79.59333473003711
360010,光大均衡精选混合A,混合型,混合型-偏股,96.7467,95.7463,95.3725,92.1159,90.8861,86.835,81.32247182363906,73.72740332814558
519756,交银国企改革灵活配置混合A,混合型,混合型-灵活,93.9124,95.0834,95.3557,91.7066,90.573,88.7645,85.27036907184758,76.39949718663954
090010,大成中证红利指数A,指数型,指数型-股票,90.3523,93.6692,95.3546,93.8592,92.6059,88.0731,84.12359331976536,77.0396115168203
519671,银河沪深300价值指数A,指数型,指数型-股票,89.9183,93.6221,95.3486,94.5863,92.7626,89.0164,83.1755271844162,76.91951993295821
502013,长盛中证申万一带一路指数(LOF),指数型,指数型-股票,89.8375,92.7833,95.343,91.6183,91.38,88.3958,83.64151673479161,74.17327606847839
001463,光大一带一路混合A,混合型,混合型-偏股,94.8088,95.2098,95.3336,93.3858,90.7132,89.2109,84.89026611482616,75.80248114449898
002031,华夏策略混合,混合型,混合型-灵活,95.7934,95.251,95.3336,92.9963,91.4335,88.9849,83.69971866395306,75.2500598587334
070018,嘉实回报混合,混合型,混合型-灵活,96.0089,94.7945,95.3325,94.2249,92.3037,89.6235,85.12419618272305,73.80323686100802
020005,国泰金马稳健混合A,混合型,混合型-灵活,97.7224,97.2255,95.3303,93.9687,92.6594,89.5393,85.2216804056712,76.75913593918352
001985,富国低碳新经济混合A,混合型,混合型-偏股,97.5952,96.6868,95.3284,94.7706,92.482,90.5148,86.0564425099622,80.10078714234406
110030,易方达沪深300量化增强A,指数型,指数型-股票,91.7634,94.1286,95.3116,94.2152,92.4095,88.4497,83.19781387354415,75.081781994493
002311,创金合信中证500指数增强A,指数型,指数型-股票,95.144,96.0598,95.3104,92.6905,90.8611,87.6419,83.93215226351525,77.19513198850713
002316,创金合信中证500指数增强C,指数型,指数型-股票,95.1065,96.0359,95.3097,92.7202,90.8684,87.6262,83.90569684116913,77.13501137315934
000199,国泰量化策略收益混合A,混合型,混合型-偏股,96.5521,96.8043,95.3082,90.6759,89.4276,87.0201,82.57907766243095,75.49533101879564
050002,博时沪深300指数A,指数型,指数型-股票,91.1125,93.8323,95.297,94.1374,92.2811,88.3579,83.00765550443809,74.85858374236801
740001,长安宏观策略混合A,混合型,混合型-偏股,97.9005,97.227,95.2966,91.7457,89.3761,86.7885,84.59663764943306,77.53827217766073
163808,中银中证A100指数增强,指数型,指数型-股票,90.4271,93.4874,95.2899,94.5467,92.8808,89.8839,83.95508029621521,75.20490392673291
162216,宏利500指数增强(LOF),指数型,指数型-股票,97.0086,96.5813,95.2887,92.4034,90.8798,88.6151,84.08110430811855,75.5769259547468
165520,中信保诚中证800有色指数(LOF)A,指数型,指数型-股票,96.5447,93.5308,95.2884,92.6146,90.023,88.3685,85.44882292076413,80.84763707649947
233011,大摩主题优选混合,混合型,混合型-偏股,97.8152,97.034,95.2839,92.6759,90.9481,89.3677,85.32482983017222,75.80704537291992
000020,景顺长城品质投资混合A,混合型,混合型-偏股,95.9401,96.3217,95.2775,95.172,92.357,90.6254,85.35972960955004,78.26907248892613
519069,汇添富价值精选混合,混合型,混合型-偏股,94.6157,95.4051,95.2764,94.0785,92.0821,89.0412,82.131740520942,73.8948207230935
162213,宏利沪深300指数增强A,指数型,指数型-股票,89.8495,93.4851,95.2708,93.9949,92.5144,89.3793,83.8326371192557,74.6891461151682
470098,汇添富逆向投资混合A,混合型,混合型-偏股,96.0703,96.2858,95.2685,92.733,91.5556,89.8554,85.69568675069692,78.22668502334491
450002,国富弹性市值混合A,混合型,混合型-偏股,96.7586,96.3067,95.2648,93.1265,91.8744,88.8947,83.0577337483539,73.99134293068359
519706,交银深证300价值ETF联接,指数型,指数型-股票,91.6198,93.9887,95.2633,94.2117,92.2513,88.7367,83.11598912281302,74.40616395307076
050004,博时精选混合A,混合型,混合型-偏股,93.6595,95.2734,95.2453,92.0423,90.1908,87.3328,81.54154409878402,73.79766251646114
000751,嘉实新兴产业股票,股票型,股票型,97.055,96.7811,95.236,95.4038,93.3022,92.0365,86.73770971934805,75.38294624685741
160221,国泰国证有色金属行业指数(LOF)A,指数型,指数型-股票,97.4111,93.6819,95.2308,92.3583,89.8399,88.0208,84.84729609550034,80.14590566263618
610005,信澳红利回报混合A,混合型,混合型-偏股,98.5634,97.2989,95.2293,91.7967,90.5345,89.2753,83.13667245301089,73.17857356638333
519965,长信量化多策略股票A,股票型,股票型,98.4601,97.548,95.227,91.9062,90.1732,88.1813,82.77548913136427,74.58742368011494
160916,大成优选混合(LOF)A,混合型,混合型-偏股,97.3662,96.7497,95.2244,94.5469,92.1601,89.642,84.42876596945494,75.40408386208547
002385,博时沪深300指数C,指数型,指数型-股票,90.9673,93.7276,95.2244,94.0923,92.2131,88.3365,82.94266602247266,74.7190754818628
