基金代码,基金名称,一级分类,二级分类,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
167503,安信一带一路指数A,指数型,指数型-股票,89.8315,92.9180,95.4418,90.8126,91.2092,87.9918,84.50679610405157,78.61999431342034
160215,国泰价值经典混合(LOF),混合型,混合型-灵活,97.8915,96.1129,95.4365,92.5829,90.5254,88.2705,85.8670858203212,77.49715671016402
000778,鹏华先进制造股票,股票型,股票型,97.9633,97.2083,95.4365,93.3198,91.3059,90.6989,85.45320543517299,76.61031216329462
001645,国泰大健康股票A,股票型,股票型,97.7643,97.3370,95.4317,94.6542,92.6788,91.0176,87.45986258145062,76.94230366335448
001179,德邦大健康灵活配置混合A,混合型,混合型-灵活,95.4253,96.0134,95.4313,95.2087,92.9685,90.1277,85.62011509979307,74.5258440081408
001421,南方量化成长股票A,股票型,股票型,98.3464,98.0651,95.4275,91.6351,89.9682,87.3964,83.30630782781209,76.76583263498144
260110,景顺长城精选蓝筹混合,混合型,混合型-偏股,94.8641,95.8555,95.4219,94.0504,92.2214,88.4867,84.3610507773084,74.59120226266012
163110,申万菱信量化小盘股票(LOF)A,股票型,股票型,95.4717,96.2805,95.4212,91.2438,89.3097,86.5188,83.1872317046057,76.55007931282174
001875,前海开源沪港深优势精选混合A,混合型,混合型-灵活,94.8058,96.0778,95.4122,93.7131,92.2469,90.4207,85.21040344786304,75.28511462947445
001170,宏利复兴混合A,混合型,混合型-灵活,96.3022,96.8185,95.4025,94.8637,91.8893,90.4403,84.67098005849053,81.40447294385251
217016,招商深证100指数A,指数型,指数型-股票,94.3239,95.6625,95.3972,94.5802,92.3230,89.3785,84.89582442578373,75.24078175505807
001910,泰康新机遇混合,混合型,混合型-灵活,94.5783,95.1028,95.3931,92.7442,91.1099,88.1972,83.00754861384276,75.09027445229259
070027,嘉实周期优选混合,混合型,混合型-偏股,94.8043,95.3752,95.3898,93.1479,91.1029,89.6794,84.013228780079,76.28733688495151
020009,国泰金鹏蓝筹混合,混合型,混合型-灵活,94.2221,94.6232,95.3856,93.4965,90.7188,88.6354,85.56255451420363,77.52637525439961
001677,中银战略新兴产业股票A,股票型,股票型,95.9176,95.6647,95.3819,94.4344,92.0673,90.8047,86.07333122402558,79.59333473003711
360010,光大均衡精选混合A,混合型,混合型-偏股,96.7467,95.7463,95.3725,92.1159,90.8861,86.8350,81.32247182363906,73.72740332814558
519756,交银国企改革灵活配置混合A,混合型,混合型-灵活,93.9124,95.0834,95.3557,91.7066,90.5730,88.7645,85.27036907184758,76.39949718663954
090010,大成中证红利指数A,指数型,指数型-股票,90.3523,93.6692,95.3546,93.8592,92.6059,88.0731,84.12359331976536,77.0396115168203
519671,银河沪深300价值指数A,指数型,指数型-股票,89.9183,93.6221,95.3486,94.5863,92.7626,89.0164,83.1755271844162,76.91951993295821
502013,长盛中证申万一带一路指数(LOF),指数型,指数型-股票,89.8375,92.7833,95.3430,91.6183,91.3800,88.3958,83.64151673479161,74.17327606847839
001463,光大一带一路混合A,混合型,混合型-偏股,94.8088,95.2098,95.3336,93.3858,90.7132,89.2109,84.89026611482616,75.80248114449898
002031,华夏策略混合,混合型,混合型-灵活,95.7934,95.2510,95.3336,92.9963,91.4335,88.9849,83.69971866395306,75.2500598587334
070018,嘉实回报混合,混合型,混合型-灵活,96.0089,94.7945,95.3325,94.2249,92.3037,89.6235,85.12419618272305,73.80323686100802
020005,国泰金马稳健混合A,混合型,混合型-灵活,97.7224,97.2255,95.3303,93.9687,92.6594,89.5393,85.2216804056712,76.75913593918352
001985,富国低碳新经济混合A,混合型,混合型-偏股,97.5952,96.6868,95.3284,94.7706,92.4820,90.5148,86.0564425099622,80.10078714234406
